Species;Binomial_ name;Pool;Notes
Am;Achillea millefolium L.;Slow;
Ao;Anthoxanthum odoratum L.;Slow;
As;Anthriscus sylvestris (L.) Hoffm.;Fast;excluded from analyses
Be;Bromus erectus Huds.;Slow;
Cj;Centaurea jacea L.;Slow;
Cb;Crepis biennis L.;Fast;
Dg;Dactylis glomerata L.;Fast;
Dc;Daucus carota L.;Slow;
Fr;Festuca rubra L.;Slow;
Ga;Galium album Mill.;Fast;
Hp;Helictotrichon pubescens (Huds.) Pilg.;Slow;
Hs;Heracleum sphondylium L.;Fast;excluded from analyses
Hl;Holcus lanatus L.;Fast;
Lp;Lolium perenne L.;Fast;
Pm;Plantago media L.;Slow;
Pt;Poa trivialis L.;Fast;
Pg;Prunella grandiflora (L.) Scholler;Slow;
Ra;Rumex acetosa L.;Fast;
Sp;Salvia pratensis L.;Slow;
To;Taraxacum officinale aggr.;Fast;
